"id","sl_code","sl_name","sl_full_name"
2,dmv,ДМВ,Дирекция моторвагонного подвижного состава
5,nte,НТЭ,Дирекция по энергообеспечению
6,t,Т,Дирекция тяги
9,d,Д,Дирекция управления движением
11,dpo,ДПО,Дирекция пассажирских обустройств
13,szdoss,СЗДОСС,Дирекция скоростного сообщения
19,dm,ДМ,Дирекция по управлению терминально-складским комплексом
23,dms,ДМС,Дирекция снабжения
22,rdzv,РДЖВ,Дирекция железнодорожных вокзалов
21,davs,ДАВС,Дирекция аварийно-восстановительных средств
15,di,"ДИ, ЦУСИ",Дирекция инфраструктуры
4,ns,НС,Дирекция связи
24,rcdm,РЦДМ,""
1,admin,Администратор,Администратор системы
12,dez,ДЭЗ,s
